District,City,Town,EnergyCertificate,Floor,Parking,ConstructionYear,TotalArea,Garage,TotalRooms,NumberOfBedrooms,LivingArea,NumberOfBathrooms,Price
0,1,1,7,0.0,1.0,1985.0,28.0,1.1860649819494584,2.68557624083522,2.309241877256318,28.0,1.0,2500.0
0,1,1,7,0.0,1.0,1985.0,28.0,1.1860649819494584,2.68557624083522,2.309241877256318,28.0,1.0,2500.0
0,8,10,0,0.0,1.0,2022.0,122.0,1.1860649819494584,2.0,2.309241877256318,122.0,3.0,799000.0
0,7,9,7,0.0,1.0,2007.0,80.0,1.1860649819494584,2.0,2.309241877256318,76.0,1.0,220000.0
0,3,3,4,0.0,1.0,2023.0,750.0,1.1860649819494584,3.0,2.309241877256318,107.0,3.0,365000.0
0,8,10,3,3.0,0.0,2011.0,360.0,1.1860649819494584,1.0,2.309241877256318,74.0,2.0,360000.0
0,12,17,3,0.0,0.0,1989.0,104.0,1.1860649819494584,3.0,2.309241877256318,83.0,2.0,199000.0
0,3,3,2,8.0,0.0,1993.0,43.0,1.1860649819494584,1.0,2.309241877256318,42.0,1.0,125000.0
0,1,1,5,5.0,1.0,1985.0,28.0,1.1860649819494584,2.68557624083522,2.309241877256318,28.0,1.0,8000.0
0,1,1,7,0.0,1.0,1985.0,28.0,1.1860649819494584,2.68557624083522,2.309241877256318,28.0,1.0,2500.0
0,13,19,3,0.0,0.0,1986.0,58.0,1.1860649819494584,1.0,2.309241877256318,61.0,1.0,165000.0
0,6,8,3,9.0,1.0,1999.0,666.0,1.1860649819494584,2.0,2.309241877256318,154.0,2.0,650000.0
0,6,8,4,2.0,1.0,2023.0,125.0,1.1860649819494584,3.0,2.309241877256318,125.0,3.0,905000.0
0,3,3,4,1.0,1.0,2023.0,750.0,1.1860649819494584,3.0,2.309241877256318,107.0,2.0,350000.0
0,5,5,3,1.0,1.0,2011.0,84.0,1.1860649819494584,2.0,2.309241877256318,118.0,2.0,305000.0
0,4,4,4,2.0,3.0,2023.0,232.0,1.1860649819494584,3.0,2.309241877256318,232.0,3.0,620100.0
0,3,3,4,0.0,1.0,2023.0,750.0,1.1860649819494584,2.0,2.309241877256318,79.0,2.0,280000.0
0,1,1,2,1.0,1.0,1992.0,84.0,1.1860649819494584,2.0,2.309241877256318,6.0,1.0,229500.0
0,8,22,3,3.0,1.0,2008.0,540.0,1.1860649819494584,4.0,2.309241877256318,169.0,3.0,380000.0
0,6,8,4,5.0,1.0,2023.0,98.0,1.1860649819494584,2.0,2.309241877256318,98.0,3.0,770000.0
0,3,3,4,4.0,2.0,2023.0,750.0,1.1860649819494584,3.0,2.309241877256318,107.0,3.0,425000.0
0,13,19,2,2.0,0.0,1998.0,60.0,1.1860649819494584,1.0,2.309241877256318,60.0,1.0,169250.0
0,3,3,4,3.0,1.0,1997.7521777596298,750.0,1.1860649819494584,1.0,2.309241877256318,61.0,1.0,270000.0
0,6,8,1,0.0,0.0,2000.0,87.0,1.1860649819494584,1.0,2.309241877256318,87.0,1.0,10500.0
